strategy,horizon,vol_window,target_vol,max_leverage,annual_return,annual_vol,sharpe,max_drawdown,n_trades,total_cost,time_in_market,avg_abs_exposure
momentum_vol_target,20,20.0,0.15,2.0,0.12563823922386463,0.1177566740146445,1.0642321857726633,-0.1839686779270135,1503,0.15148035465581133,0.6837708830548926,0.9546916580693999
momentum_vol_target,20,20.0,0.2,1.0,0.08138573875729205,0.09758300286386568,0.8508438595760262,-0.12796825376527776,371,0.10365626530204744,0.6837708830548926,0.6694381004437492
momentum_vol_target,20,20.0,0.2,1.5,0.11326504848184249,0.12715399347555284,0.9077669889298509,-0.184731551641842,723,0.1437766555738374,0.6837708830548926,0.9390437356534604
momentum_vol_target,20,20.0,0.2,2.0,0.1389629435057076,0.14609315929547453,0.9641225472422384,-0.2262343853765919,1134,0.17415543594592076,0.6837708830548926,1.1338662310362468
momentum_vol_target,20,60.0,0.1,1.0,0.05608496371503713,0.06874635062372676,0.8282961780453091,-0.09762171018514439,1358,0.07777206860779386,0.6837708830548926,0.512613429228275
momentum_vol_target,20,60.0,0.1,1.5,0.06575677658735901,0.07313886117041574,0.9074851036023475,-0.10796329019584336,1725,0.08390741440843574,0.6837708830548926,0.5627335062279238
momentum_vol_target,20,60.0,0.1,2.0,0.06794626627483447,0.07375400074252457,0.9283567750640803,-0.10798269075106764,1792,0.08494132970028237,0.6837708830548926,0.5688707944999571
momentum_vol_target,20,60.0,0.15,1.0,0.06861124813975983,0.08606778974727268,0.814261337392247,-0.11588986600558476,768,0.09228279022753688,0.6837708830548926,0.6125214109427899
momentum_vol_target,20,60.0,0.15,1.5,0.08335911923437345,0.10311952593559015,0.8282961780453092,-0.14374879149015204,1358,0.1166581029116908,0.6837708830548926,0.7689201438424125
momentum_vol_target,20,60.0,0.15,2.0,0.09385407800892365,0.10846849771574354,0.8815842617571652,-0.15619475996890003,1592,0.12338594541832763,0.6837708830548926,0.8291149500471601
momentum_vol_target,20,60.0,0.2,1.0,0.0767535918104969,0.09434808312145,0.831203697671126,-0.12622638460458782,475,0.09729580639196872,0.6837708830548926,0.6479630756873402
momentum_vol_target,20,60.0,0.2,1.5,0.09635180154803313,0.12282492970591308,0.8107428906805507,-0.16407558763505053,882,0.13339262977891064,0.6837708830548926,0.8852600189188471
momentum_vol_target,20,60.0,0.2,2.0,0.11000830064494549,0.13749270124745352,0.8282961780453091,-0.1881350694200615,1358,0.1555441372155877,0.6837708830548926,1.02522685845655
momentum_vol_target,20,120.0,0.1,1.0,0.05900733676206138,0.06573266719469652,0.9052451314470618,-0.11175644745453954,1490,0.06487582150425689,0.6837708830548926,0.47150498582910044
momentum_vol_target,20,120.0,0.1,1.5,0.06536014919714428,0.06895014054505497,0.9529166067644183,-0.12614769939963782,1705,0.06828718195634126,0.6837708830548926,0.5058542330092347
momentum_vol_target,20,120.0,0.1,2.0,0.06562035611067363,0.0690113644003444,0.9556716418735816,-0.12614769939963744,1744,0.06848154091959793,0.6837708830548926,0.5065843713298775
momentum_vol_target,20,120.0,0.15,1.0,0.07720700496288013,0.08464375174542113,0.9211858540554616,-0.12447265094878357,794,0.08187770619657425,0.6837708830548926,0.5902160301489351
momentum_vol_target,20,120.0,0.15,1.5,0.0880228284380884,0.09859900079204477,0.9052451314470618,-0.16391817366044184,1490,0.09731373225638532,0.6837708830548926,0.7072574787436506
momentum_vol_target,20,120.0,0.15,2.0,0.09468759935562754,0.1024850358499498,0.9343657790042719,-0.1822898749343033,1581,0.10120975687363323,0.6837708830548926,0.7484312914286262
momentum_vol_target,20,120.0,0.2,1.0,0.08427016812603294,0.0931969033507339,0.9149498387574534,-0.13295641552894621,404,0.08774034614660306,0.6837708830548926,0.628189738600522
momentum_vol_target,20,120.0,0.2,1.5,0.10893038721189363,0.12049214161049067,0.9187549351720503,-0.17921298830104804,996,0.11711388571675682,0.6837708830548926,0.8489705533072954
momentum_vol_target,20,120.0,0.2,2.0,0.11660767277582473,0.13146533438939303,0.9052451314470618,-0.21370712791364171,1490,0.12975164300851377,0.6837708830548926,0.9430099716582009
momentum_vol_target,50,20.0,0.1,1.0,0.06843554147921149,0.07929014376331203,0.8746627040953728,-0.1295517226147367,1184,0.05509796735891144,0.7450278440731901,0.619447416189594
momentum_vol_target,50,20.0,0.1,1.5,0.08840880529002138,0.08596179515922192,1.0287025245640034,-0.13144120437986184,1740,0.07168525567932268,0.7450278440731901,0.7119737533779044
